m,n_dus_edges,n_skip,C,L,version_ref,n_dependencies,C_spine,L_spine,C_spine_sd,L_spine_sd,C_fwd,L_fwd,m_fwd
141,1118,978,0.25042111173498033,2.9574468085106385,5UX46536JC81phU,3852,0.20405390230207754,2.8014184397163127,0.0027046667724201106,0.056426451860754866,,,
85,627,543,0.41472933989479044,2.235294117647059,MQ8i45ux0q6btvT,3728,0.39157474970303746,1.9576470588235295,0.002532051125449732,0.019474053361466907,,,
45,320,276,0.5022123893805309,2.7111111111111112,42ytyCG1IDqUXI2,2990,0.498141592920354,2.963333333333334,0.002996460699705662,0.2389560629069704,,,
145,1259,1115,0.30347725774555045,3.56551724137931,mfrE4ofxwx88RcU,4865,0.24355636123928806,3.4610344827586212,0.001934651180095334,0.06404052670490848,,,
117,452,336,0.2589622641509434,5.632478632478633,0vXU2tsXpltld7M,3291,0.22134433962264147,4.771794871794872,0.004442171745716358,0.23884416198266262,0.37076483350130734,3.5014924011177895,84.1
127,1180,1054,0.32764275502480866,3.4803149606299213,89aRBJPyMdE28o2,4912,0.2839374316710117,2.7051181102362203,0.002793888754341606,0.06632310153715365,0.5106845465687472,2.3372832341534595,64.0
104,845,742,0.3301780163888104,2.951923076923077,atm32nXuQ7W3X9c,3246,0.27811528680418196,2.862019230769231,0.003180433507909135,0.0904191321162879,,,
103,807,705,0.33784606023729846,2.8446601941747574,xKQpw9h8ZPP83Z0,3113,0.29404472163066625,2.9412621359223303,0.003656911877013827,0.08538585192039898,,,
88,783,696,0.42241008740507235,2.6136363636363638,Nuh4ONnzj21kKs8,4350,0.39249176099727756,2.41875,0.002592109028229046,0.07384396591227269,,,
139,1039,901,0.27978315483273836,2.884892086330935,iq43koa6TDY5zc5,3800,0.23057649081052492,2.585251798561151,0.00370418787367485,0.046971035148836805,0.48255115077267696,1.8900845242374196,55.8
44,297,254,0.5091649694501018,3.1363636363636362,Ilm0o8zG6qXKP5h,2204,0.5063391038696536,3.047727272727273,0.0034775445571344214,0.17690813323108065,0.5061946019152853,2.850353422070823,40.4
143,1166,1024,0.2997872340425532,3.2097902097902096,KvXp7BSMIFMq7Ns,3898,0.25995744680851074,2.875874125874126,0.0035432719224897736,0.09534305330790506,,,
110,862,753,0.32732732732732733,3.0272727272727273,vaYPzt6rA8rmP73,3269,0.275082225082225,2.894090909090909,0.00322346397977853,0.16145707921844762,,,
137,1021,885,0.3237597911227154,5.4963503649635035,ZVA10HhBeBioI3x,3800,0.250805047867711,5.362043795620437,0.0030145698454513486,0.05048647143296525,,,
104,842,739,0.33503981797497157,3.0384615384615383,4o3V8dseqcs8aH4,3245,0.2858646188850967,2.900480769230769,0.0034534947068624723,0.16222025875972151,,,
139,1101,963,0.29397562658082316,3.2158273381294964,1o23hHaXXrBV5aF,3793,0.2585019544722925,2.847122302158273,0.003357698888975509,0.116023226821407,,,
